Sample	File	Donor	Condition
Day0_KD_1	10-siACTD0-2802F-David-Wilkinson_S8	2802F	Day0_KD
Day3_KD_1	11-siACTD3-2802F-David-Wilkinson_S3	2802F	Day3_KD
Day7_KD_1	12-siACTD7-2802F-David-Wilkinson_S6	2802F	Day7_KD
Day0_Control_1	13-siConD0-2454E-David-Wilkinson_S11	2454E	Day0_Control
Day3_Control_1	14-siConD3-2454E-David-Wilkinson_S12	2454E	Day3_Control
Day7_Control_1	15-siConD7-2454E-David-Wilkinson_S17	2454E	Day7_Control
Day0_KD_2	16-siACTD0-2454E-David-Wilkinson_S16	2454E	Day0_KD
Day3_KD_2	17-siACTD3-2454E-David-Wilkinson_S1	2454E	Day3_KD
Day7_KD_2	18-siACTD7-2454E-David-Wilkinson_S9	2454E	Day7_KD
Day0_Control_2	1-siConD0-8A-David-Wilkinson_S15	8A	Day0_Control
Day3_Control_2	2-siConD3-8A-David-Wilkinson_S7	8A	Day3_Control
Day7_Control_2	3-siConD7-8A-David-Wilkinson_S10	8A	Day7_Control
Day0_KD_3	4-siACTD0-8A-David-Wilkinson_S5	8A	Day0_KD
Day3_KD_3	5-siACTD3-8A-David-Wilkinson_S18	8A	Day3_KD
Day7_KD_3	6-siACTD7-8A-David-Wilkinson_S14	8A	Day7_KD
Day0_Control_3	7-siConD0-2802F-David-Wilkinson_S2	2802F	Day0_Control
Day3_Control_3	8-siConD3-2802F-David-Wilkinson_S4	2802F	Day3_Control
Day7_Control_3	9-siConD7-2802F-David-Wilkinson_S13	2802F	Day7_Control
