ID	cosineSimilarity	zscore	accession	comparison	comparisonsText	Description	PMID	Species	Tissue	ExpType	Perturbation	Effect	Type	foldChangeOnly	platform
GSE125167_5	0.158120875368738	4.83842189700127	GSE125167	5	PLZF_10_days_diffvsControl_10_days_dif	PLZF knockdown during osteogenic differentiation	30672466	Human	Bone				RNASeq	FALSE	RNASeq
GSE29745_1	0.125216666180698	3.84346904133309	GSE29745	1	Gene expression of human amnion infected 5 genesvsGene expression of human fetal re-differentiation chondrocytes	Human amnion and chondrosarcoma	22833560	Human	Cartilage	Tissue	Amnion	chondrosarcoma	Microarray	TRUE	1C-Agilent
GSE10575_3	0.108587914963059	3.34065119770599	GSE10575	3	T/C-28 cells (fetal human sternal chondrocytes, immortalized, M.Goldring)vshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
E-MTAB-4152_3	0.10219025158974	3.14719955124608	E-MTAB-4152	3	direct co-culture with human umbilical vein endothelial cellsvsmonoculture	Osteoblasts co-cultured with human umbilical vein endothelial cells	26754918	Human	Bone	Culture	co-culture with human umbilical vein endothelial cells		Microarray	FALSE	Affy-ST
GSE69531_2	0.0955001220014136	2.94490435245689	GSE69531	2	ECM-PelletvsECM-Cell	in vitro chondrogenesis of human synovial stem cells on plastic and ECM	25861949	Human	Synovium	Culture Development	Plastic and ECM		Microarray	TRUE	Affy-ST
GSE35957_1	0.0857814014665781	2.65103104602623	GSE35957	1	hMSC-senescentvshMSC-C_middle-aged	Senescent human MSCs	23028809	Human	Bone	Development	Senescence		Microarray	FALSE	Affy
GSE100268_1	0.0850081823498345	2.6276505549813	GSE100268	1	HPIP_KOvsControl	HPIP KO Cartilage	30659184	Human	Cartilage	Gene perturbation	HPIP	Knockout	RNASeq	TRUE	RNASeq
GSE125167_7	0.0848596011557576	2.62315777770468	GSE125167	7	NaivePLZFvsNaiveControl	PLZF knockdown during osteogenic differentiation	30672466	Human	Bone				RNASeq	FALSE	RNASeq
GSE108035_3	0.0846026155225904	2.61538708222544	GSE108035	3	chondrocyte-like cells (ChiPS)vsprimary articular cartilage chondrocyte cell culture	Human induced pluripotent stem cells compared to mature chondrocytes	29864138	Human	Cell line	Tissue	hiPSCs mature chondrocytes articular cartilage		Microarray	FALSE	Affy-ST
GSE109503_3	0.0797186936664637	2.46770773914067	GSE109503	3	Day7vsDay3	Mesenchymal Stem Cells During Chondrogenesis	29985644	Human	Cartilage	Differentiation	MSC differentiation		RNASeq	FALSE	RNASeq
E-GEOD-9451_4	0.0761161045984558	2.35877315692569	E-GEOD-9451	4	adipocytevsiliac	Mesenchymal stem cell differentiation	19228201	Human	Bone	Tissue	Differentiation		Microarray	FALSE	Affy
GSE80285_2	0.0751123986836636	2.32842323845579	GSE80285	2	transfected with siRNA against a-Klothovstransfected with siRNA control	human primary OA chondrocyte treated with exogenous a-Klotho or siRNAs	29920476	Human	Cartilage				Microarray	TRUE	Affy
GSE69531_1	0.0725603762339986	2.25125554208258	GSE69531	1	Plastic-PelletvsPlastic-Cell	in vitro chondrogenesis of human synovial stem cells on plastic and ECM	25861949	Human	Synovium	Culture Development	Plastic and ECM		Microarray	TRUE	Affy-ST
E-MTAB-4152_1	0.0704624181678229	2.18781778075895	E-MTAB-4152	1	direct co-culture with human umbilical vein endothelial cellsvsindirect co-culture with human umbilical vein endothelial cells	Osteoblasts co-cultured with human umbilical vein endothelial cells	26754918	Human	Bone	Culture	co-culture with human umbilical vein endothelial cells		Microarray	FALSE	Affy-ST
GSE109503_5	0.0700025826134177	2.17391333785383	GSE109503	5	Day1vsDay0	Mesenchymal Stem Cells During Chondrogenesis	29985644	Human	Cartilage	Differentiation	MSC differentiation		RNASeq	FALSE	RNASeq
GSE13837_17	0.0696233306372469	2.16244556986851	GSE13837	17	TNF stimulated synovial fibroblasts (1h).osteoarthritisvsTNF stimulated synovial fibroblasts (0h).osteoarthritis	TGFb or TNFa treated synovium from rheumatoid arthritis or osteoarthritis	19622164	Human	Synovium	Disease	Osteoarthritis  Rheumatoid arthritis	TNF and TGFB	Microarray	FALSE	Affy
GSE69992_1	0.0695744582517005	2.16096777353902	GSE69992	1	MSX1 siRNAvscontrol siRNA	Role of MSX1 in Osteogenic Differentiation of Dental Pulp Cells	27648077	Human		Gene perturbation	MSX1	Knockdown	Microarray	FALSE	1C-Agilent
GSE108035_2	0.0682860803570429	2.12200998372728	GSE108035	2	chondrocyte-like cells (ChiPS)vschondrocyte cell line:  HC-402-05a	Human induced pluripotent stem cells compared to mature chondrocytes	29864138	Human	Cell line	Tissue	hiPSCs mature chondrocytes articular cartilage		Microarray	FALSE	Affy-ST
GSE109503_8	0.0677705582667966	2.10642169917319	GSE109503	8	Day7vsDay0	Mesenchymal Stem Cells During Chondrogenesis	29985644	Human	Cartilage	Differentiation	MSC differentiation		RNASeq	FALSE	RNASeq
GSE52817_3	0.0676348432530832	2.10231796765119	GSE52817	3	dOB (osteoblasts)vsmesenchymal stem cells (MSC)	Characterisation of osteoblasts like cell reprogrammed from human fibroblasts	25918395	Human	Bone	Tissue	Cell type		Microarray	TRUE	Affy-ST
GSE16464_1	0.066789837808736	2.07676681171537	GSE16464	1	monolayer chondrocytes from OAvsmonolayer chondrocytes from normal	3D and monolayer cultured chondrocytes	19723327	Human	Cartilage	Disease	Osteoarthritis	3D culture	Microarray	TRUE	Affy
