ENSG	ENTREZID	GENETYPE	SYMBOL	GENENAME	log2FoldChange	V	classification	specific.factor
1	ENSG00000000003	7105	protein-coding	TSPAN6	tetraspanin 6	0.450212415823512	0.177593066619331	basal	NA
2	ENSG00000000419	8813	protein-coding	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	0.0417456807105862	0.0560287974174463	basal	NA
3	ENSG00000000457	57147	protein-coding	SCYL3	SCY1 like pseudokinase 3	0.0994606531375059	0.0069476366271951	basal	NA
4	ENSG00000000460	55732	protein-coding	FIRRM	FIGNL1 interacting regulator of recombination and mitosis	0.308386841153287	0.0882088034830706	basal	NA
5	ENSG00000000971	3075	protein-coding	CFH	complement factor H	0.431219442029569	0.260345080110257	basal	NA
6	ENSG00000001036	2519	protein-coding	FUCA2	alpha-L-fucosidase 2	0.0324830127657314	0.00634980999766842	basal	NA
7	ENSG00000001084	2729	protein-coding	GCLC	glutamate-cysteine ligase catalytic subunit	0.278100462933126	0.0507820133224826	basal	NA
8	ENSG00000001167	4800	protein-coding	NFYA	nuclear transcription factor Y subunit alpha	0.0474330714761459	0.0188265718167423	basal	NA
9	ENSG00000001460	90529	protein-coding	STPG1	sperm tail PG-rich repeat containing 1	-0.00850886450588751	0.0207865451484488	basal	NA
10	ENSG00000001461	57185	protein-coding	NIPAL3	NIPA like domain containing 3	-0.455522570750401	0.240608572163165	basal	NA
11	ENSG00000001497	81887	protein-coding	LAS1L	LAS1 like ribosome biogenesis factor	0.118671722916361	0.0320141933810252	basal	NA
12	ENSG00000001561	22875	protein-coding	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	0.177863990516313	0.0351059945121557	basal	NA
13	ENSG00000001629	54467	protein-coding	ANKIB1	ankyrin repeat and IBR domain containing 1	0.0575425652261908	0.0159326578133045	basal	NA
14	ENSG00000001630	1595	protein-coding	CYP51A1	cytochrome P450 family 51 subfamily A member 1	-0.0682598022687042	0.0484042112705711	basal	NA
15	ENSG00000001631	889	protein-coding	KRIT1	KRIT1 ankyrin repeat containing	0.17655859316608	0.063746617553634	basal	NA
16	ENSG00000002016	5893	protein-coding	RAD52	RAD52 homolog, DNA repair protein	0.123739626563606	0.052347929213453	basal	NA
