GENE	Day0_KD_1	Day3_KD_1	Day0_Control_1	Day7_KD_2	Day3_KD_2	Day3_KD_3	Day0_Control_3	Day3_Control_3	Day0_KD_3	Day3_Control_2	Day7_Control_2	Day7_KD_3	Day7_Control_3	Day0_Control_2	Day7_KD_1	Day7_Control_1	Day0_KD_2	Day3_Control_1
CYP26B1	CYP26B1	0.450746	0.47966	0.218612	0	0.0681758	0.0539032	0.391533	0.53928950019	0.0154916	0.6117	1.466542	0.10728	1.690555	0.163127	0.322441	0.454959	0.253675	0.291909000412184
SEMA3B	SEMA3B	0.689541	0.388974	1.237563	2.6746548	0.549176	1.396409	0.487121	1.614573	0.369501	2.6150643675072	8.420973	3.6712361	10.5750665	0.578792	0.4636382	14.343533	1.4498011	1.5105455
IGF1	IGF1	11.58179	19.74376	3.837813	18.679467	4.10961	16.085042	13.686324	52.89455	6.521691	272.85252	101.60842	20.347192	43.357246	8.143426	22.198973	58.361354	1.0369007	36.905903
CYP24A1	CYP24A1	1.2853719	0.0646372	0.2281073	0	0.0347266	0.0554839	0.5874252	1.3547714	0.617164	4.64502	0.2981238	0	0.06017701	0.639909	0.0393376	1.5067848	0.162888	2.10343
BIRC3	BIRC3	0.585156	4.813413	0.8319414	1.1395941	6.277882	2.9772885	0.8298178	17.074145	0.7647541	55.436526	0.3248839	0.2547865	1.097493	1.125055	2.19402016	1.290123	0.1733968	24.297659
PTPRN	PTPRN	1.0310857	4.837489	0.9647836	5.834452	4.3934589	4.935768346	3.564443	12.82684	0.4345838	11.959181	6.6576417	1.2088109	10.544806	0.1424431	1.2783875	26.015477176	0.7291742	6.208716
CHI3L2	CHI3L2	7.3503003	473.897264	5.415806	258.680130949797	684.899289	1010.193941	12.4918517719	506.615632	14.1990500048538	3795.308574566	2077.275732	160.92158505718	1050.35247172	19.04871	199.330229	531.081691	4.208155	595.67396
PTGS2	PTGS2	35.55744899114	9.15664000075092	17.6544513672	2.99315071	8.56311383	12.5801037888	38.516460414	124.55929958984	11.318283382094	304.177515	18.5014080373339	6.29884353959	33.716139283195	32.4954078491	3.05505130065078	24.590725089	13.455032113423	17.2477719544
CXCL2	CXCL2	7.674782	9.30751	18.173994	2.892496	4.59777	15.86517	30.671071	74.5028	24.62525	124.84904	11.14361	2.905002	1.697588	44.414438	4.909555	4.277688	14.864104	20.94889
C1QTNF3	C1QTNF3	1.7909606	2.052520326486	2.5722616	74.397257	23.220638	55.624197	1.963739	351.573759	2.184193	113.965022	2289.34571	284.171429	919.681621	0.7415051	25.064857	757.659287	2.1769534	274.833896
HSD17B2	HSD17B2	0.15248	0.17817	0.437824	0.131189	0.153198	0.4017372	0.145426	0.150524	0.0876528	0.135127	0.368691	0.0648041	2.726862	0.0611791	0.1957312	1.171957	0.136681	0.176894
IL11	IL11	0.4160486	0.5900874	0.4086109	0.288335	0	1.160945	1.235013	3.19561	0.246164	5.56968	1.5487	1.24096	1.0961564	0.502367	0.37926	1.27580386	0.329169	0.8048764
SCD	SCD	61.5851	28.5886	65.4183	88.7807	40.3908	54.3036	64.3175	143.975	124.509	60.1575	320.474	103.095	353.769	148.396	22.5091	545.398	61.9097	145.094
GGT5	GGT5	11.168274	30.138287	35.492606	28.812719	10.729027	15.279125	31.539485	11.000679812	5.127713	9.911905	3.857822	9.308717	6.402990215286	8.263451	24.103646	11.24043	23.081435	15.527096
TIMP3	TIMP3	2268.12	59.8642	764.78	38.3053	22.8827	19.1165	803.412	211.816	416.717	154.164	70.3437	12.8524	191.522	215.049	83.5837	66.6127	1060.87	96.3216
