pathway	pval	padj	log2err	ES	NES	size	Ontology_Source	GROUP
REACTOME_2_LTR_CIRCLE_FORMATION	0.100352112676056	0.452444982295729	0.186432558434075	-0.848526740688841	-1.44717095136438	7	REACTOME	Day0
REACTOME_ABACAVIR_METABOLISM	0.0657894736842105	0.412097927915455	0.261663521711573	0.877685041993877	1.49629205446735	5	REACTOME	Day0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	0.122710622710623	0.469095208505938	0.170932335370056	-0.871478473448181	-1.38571543253722	5	REACTOME	Day0
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.588235294117647	0.788246042520181	0.0813027345384498	0.480533324570603	0.898655397938281	10	REACTOME	Day0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.354430379746835	0.659051342455683	0.0787113806986485	-0.500934487089096	-1.09163299648758	101	REACTOME	Day0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.65359477124183	0.819872072072072	0.0559428593065705	-0.432863540123732	-0.817293439932313	18	REACTOME	Day0
REACTOME_ABC_TRANSPORTER_DISORDERS	0.801144492131617	0.893163960000288	0.0404934829859503	-0.356459590130657	-0.750606512146854	75	REACTOME	Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.264516129032258	0.601707073806966	0.103197466945307	-0.654867033686529	-1.23649534802965	20	REACTOME	Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.0114299701739269	0.36845681664251	0.380730400722792	0.823925086299685	1.67954967712942	17	REACTOME	Day0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.198966408268734	0.534477894879375	0.158514105424824	0.60868961199028	1.27725197931809	24	REACTOME	Day0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.892605633802817	0.936000370895189	0.0450442767152794	-0.357886651405142	-0.610379309170783	7	REACTOME	Day0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	0.585526315789474	0.787292093871041	0.0756946307932749	0.532862287278065	0.908432488228536	5	REACTOME	Day0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.298507462686567	0.634175225105662	0.09754492162472	-0.650555531311363	-1.18755208157397	14	REACTOME	Day0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.627350427350427	0.809198682454496	0.059989249649033	-0.495516859176586	-0.863035143327283	8	REACTOME	Day0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.200317965023847	0.534477894879375	0.120433371642259	-0.665766612661605	-1.28044489930104	31	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.252688172043011	0.59011237771849	0.112843355675562	-0.7519408272504	-1.25737470489555	6	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.0808080808080808	0.421881192969018	0.204294756516886	-0.829341184740379	-1.48079801930299	10	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.617957746478873	0.806150334784233	0.0621124188949471	-0.509323594727207	-0.868656549981361	7	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.148648648648649	0.485864618885097	0.172324344900946	0.768182439013361	1.34715753551583	6	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.094017094017094	0.448932706498091	0.190023305279108	-0.832546513928504	-1.45003522416754	8	REACTOME	Day0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.42831541218638	0.705380525053497	0.0815265143256594	-0.646658417113127	-1.08132436345963	6	REACTOME	Day0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	0.0615384615384615	0.404683589736026	0.237793834423688	-0.864806749125136	-1.50622244805527	8	REACTOME	Day0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.00850652897367714	0.36845681664251	0.380730400722792	0.733965037193593	1.74919489989508	51	REACTOME	Day0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.301282051282051	0.637010388999092	0.0949751525905595	-0.622451387859528	-1.19302854015722	23	REACTOME	Day0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.711947626841244	0.844655969812415	0.0520570030732099	-0.41045236108472	-0.783865862636656	25	REACTOME	Day0
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.00916269887092415	0.36845681664251	0.380730400722792	0.604300627778813	1.59122628421813	106	REACTOME	Day0
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.193370165745856	0.532041408175406	0.166933848713193	0.560646989435141	1.2563570740648	36	REACTOME	Day0
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.567164179104478	0.779336383059375	0.0633597010643758	-0.493379349910609	-0.902618055265007	15	REACTOME	Day0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.776167471819646	0.876008781784818	0.0473534245254193	-0.384686736813983	-0.733566650513506	30	REACTOME	Day0
REACTOME_ACTIVATION_OF_C3_AND_C5	0.702508960573477	0.841818222045223	0.0568864160475701	-0.474723993475551	-0.793820364011683	6	REACTOME	Day0
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.243243243243243	0.577251085867023	0.131457611642763	0.698610775125278	1.22515007152644	6	REACTOME	Day0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.178353658536585	0.513883546766822	0.12563992130984	-0.647608711421077	-1.29473567307094	43	REACTOME	Day0
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.506578947368421	0.753022820272714	0.0684714904492087	-0.516445281506413	-0.956754301654436	17	REACTOME	Day0
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.745954692556634	0.862596900625803	0.0493910105981501	-0.39088512426075	-0.747941349402158	26	REACTOME	Day0
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.0498392282958199	0.404366909686059	0.257206466468838	-0.793045337667148	-1.51968798020142	27	REACTOME	Day0
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	0.976958525345622	0.986278007706579	0.0532386494755899	0.258863219963535	0.458227487875764	7	REACTOME	Day0
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.364406779661017	0.661899098027555	0.0774767547848578	-0.503573216263706	-1.08687440070185	88	REACTOME	Day0
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.081140350877193	0.421881192969018	0.234392647294686	0.849273832244907	1.4478561516421	5	REACTOME	Day0
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	0.472268907563025	0.732589483412596	0.0730744399126987	-0.570756455183941	-1.01727364414315	9	REACTOME	Day0
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.194957983193277	0.532041408175406	0.126253987849115	-0.734443440853392	-1.30901709250609	9	REACTOME	Day0
REACTOME_ACTIVATION_OF_RAC1	0.28006589785832	0.613458870767236	0.100990587455923	-0.664390265033048	-1.21295887997326	13	REACTOME	Day0
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS	0.589788732394366	0.788246042520181	0.0643583367917361	-0.523789205162294	-0.893327795107255	7	REACTOME	Day0
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	0.0695970695970696	0.420852001734355	0.231126709673834	-0.902016576640415	-1.43427328240178	5	REACTOME	Day0
REACTOME_ACTIVATION_OF_SMO	0.657360406091371	0.819872072072072	0.077274697304471	0.406436005954458	0.82850913745123	17	REACTOME	Day0
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.215488215488215	0.552653910377488	0.119348440591015	-0.71939054331078	-1.28447991157389	10	REACTOME	Day0
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.161290322580645	0.498971854517414	0.130105630751129	-0.64162419066566	-1.31865988297	57	REACTOME	Day0
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	0.552188552188552	0.772935285377178	0.0653834195468773	-0.52435803101718	-0.936247165849992	10	REACTOME	Day0
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.315508021390374	0.64199378086702	0.125033367555272	0.484355398392675	1.08564490314796	33	REACTOME	Day0
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	0.252450980392157	0.59011237771849	0.135002033828631	0.656935320399113	1.22854845145342	10	REACTOME	Day0
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	0.102150537634409	0.452444982295729	0.186432558434075	-0.86000727648658	-1.43808043969961	6	REACTOME	Day0
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	0.761904761904762	0.87118036618621	0.0541200569620232	-0.469892737175997	-0.747164316022148	5	REACTOME	Day0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.83633387888707	0.907001755524874	0.0446854397644147	-0.356907162220288	-0.681607336490046	25	REACTOME	Day0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.663157894736842	0.821415631933014	0.0787113806986485	0.396859525247496	0.844347108412823	27	REACTOME	Day0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.115894039735099	0.460189646731428	0.166933848713193	-0.770403528500217	-1.41637955687211	16	REACTOME	Day0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	0.14759535655058	0.485558169311854	0.14641623786055	-0.747331773106484	-1.36721399426494	15	REACTOME	Day0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.679032258064516	0.826439731014258	0.0535669384770951	-0.417269765080917	-0.787873105310346	20	REACTOME	Day0
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.235690235690236	0.570135414372175	0.11331290842208	-0.703106040157334	-1.25540374791694	10	REACTOME	Day0
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	0.301482701812191	0.637010388999092	0.0965629554309422	-0.655053409691304	-1.19591284213399	13	REACTOME	Day0
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.145800316957211	0.485558169311854	0.143758989039275	-0.691553342924552	-1.33717245928157	32	REACTOME	Day0
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	0.0943661971830986	0.448932706498091	0.170932335370056	-0.627104755625704	-1.35508031360382	89	REACTOME	Day0
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.716981132075472	0.848036327580508	0.0758886900606117	0.385229625740569	0.798093405081996	22	REACTOME	Day0
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	0.543814432989691	0.771977892534725	0.0883594442500905	0.445038558960844	0.915382643576056	19	REACTOME	Day0
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.59846547314578	0.792714893747673	0.0826646449123753	0.422087340562369	0.898562065227482	25	REACTOME	Day0
REACTOME_ADRENOCEPTORS	0.698198198198198	0.839242880651549	0.0681513438679483	0.460507536187785	0.807589663640326	6	REACTOME	Day0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0.612244897959184	0.803054329840044	0.0609039347452418	-0.495615462076357	-0.883495984153843	12	REACTOME	Day0
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	0.0529801324503311	0.404366909686059	0.252961123069611	-0.846424785483805	-1.55614391450543	16	REACTOME	Day0
REACTOME_AGGREPHAGY	0.915756630265211	0.947481710061207	0.0383205781976994	-0.308035183244209	-0.60883777244932	40	REACTOME	Day0
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.353383458646617	0.659051342455683	0.112843355675562	0.552764905755177	1.09525012521047	14	REACTOME	Day0
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS	0.317647058823529	0.64199378086702	0.0946646223153342	-0.653733805318465	-1.16516627082485	9	REACTOME	Day0
REACTOME_ALK_MUTANTS_BIND_TKIS	0.858843537414966	0.921455528752626	0.0452247443372884	-0.371501254894748	-0.662247028033714	12	REACTOME	Day0
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	0.200988467874794	0.534477894879375	0.122679189568808	-0.719913300411921	-1.31432574573028	13	REACTOME	Day0
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE	0.32967032967033	0.650216807093617	0.09754492162472	-0.728007015486904	-1.15758516944659	5	REACTOME	Day0
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY	0.361158432708688	0.661173220669483	0.0880945010398517	-0.622248390288761	-1.10882332698793	11	REACTOME	Day0
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.828644501278772	0.903042466986795	0.065981614400873	0.326689280874381	0.695473582597982	25	REACTOME	Day0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	0.215151515151515	0.552653910377488	0.165656695205483	0.507225456686201	1.2297274703506	55	REACTOME	Day0
REACTOME_AMINO_ACID_CONJUGATION	0.401433691756272	0.683581714141986	0.0850427463764322	-0.66818786019469	-1.11732530417225	6	REACTOME	Day0
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.0466988727858293	0.404366909686059	0.266350657088526	-0.793942779199361	-1.51398498960542	30	REACTOME	Day0
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.381196581196581	0.673524032206362	0.0852884689790502	-0.634914416059282	-1.10582201980944	8	REACTOME	Day0
REACTOME_AMYLOID_FIBER_FORMATION	0.378839590443686	0.672386153096051	0.129442887745046	0.414115869653414	1.05305598935796	85	REACTOME	Day0
REACTOME_ANCHORING_FIBRIL_FORMATION	0.767827529021559	0.874016932295078	0.0491927521045191	-0.398133406315956	-0.728369359216291	15	REACTOME	Day0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.887165021156558	0.93375682952971	0.035090109926935	-0.317471914391336	-0.689780824327052	98	REACTOME	Day0
REACTOME_ANDROGEN_BIOSYNTHESIS	0.0841750841750842	0.430012847776006	0.199915231309662	-0.824255588778585	-1.47171763047658	10	REACTOME	Day0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.130365659777424	0.476219176923402	0.153158808683073	-0.707462932728988	-1.36063792690941	31	REACTOME	Day0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	0.799352750809062	0.893163960000288	0.0462302524077616	-0.366566849060464	-0.701409408329104	26	REACTOME	Day0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.586805555555556	0.787648252184769	0.101350743797099	0.357163973722349	0.916498985508083	97	REACTOME	Day0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.762352941176471	0.87118036618621	0.0336769978828608	-0.350376556719572	-0.848055576986628	300	REACTOME	Day0
REACTOME_ANTIMICROBIAL_PEPTIDES	0.714285714285714	0.846137081835022	0.0751181635276301	0.381357780154929	0.795691177267794	23	REACTOME	Day0
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	0.721854304635762	0.849916402653023	0.0865399737444125	0.335737651280502	0.845440446402922	80	REACTOME	Day0
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	0.0339673913043478	0.395141263637844	0.287857117255149	-0.651494203036321	-1.4538194968205	122	REACTOME	Day0
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.155339805825243	0.491329365471694	0.140406238523342	-0.708856330871092	-1.35636515113406	26	REACTOME	Day0
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.146341463414634	0.485558169311854	0.14551614609036	-0.715413859327606	-1.3661855060546	24	REACTOME	Day0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.496402877697842	0.746784211580846	0.0629394692018967	-0.471816677631833	-0.987251623476283	72	REACTOME	Day0
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	0.713483146067416	0.845831546444807	0.0449543067640062	-0.382161778327298	-0.823664180687859	86	REACTOME	Day0
