pathway	pval	padj	log2err	ES	NES	size	Ontology_Source	GROUP
REACTOME_2_LTR_CIRCLE_FORMATION	0.140127388535032	0.737818291811032	0.172324344900946	-0.790184087480583	-1.3925136416081	7	REACTOME	Day_Day7_Day0
REACTOME_ABACAVIR_METABOLISM	0.0722433460076046	0.737818291811032	0.231126709673834	0.89398874675308	1.48055759242843	5	REACTOME	Day_Day7_Day0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	0.960084033613445	0.981433188056125	0.0497903187820785	-0.302552557936359	-0.502581563113969	5	REACTOME	Day_Day7_Day0
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.104950495049505	0.737818291811032	0.193813302725311	0.791056090250535	1.45924841736384	10	REACTOME	Day_Day7_Day0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.410430839002268	0.785737799043062	0.0972150808846466	-0.407761757552706	-1.02454173107873	101	REACTOME	Day_Day7_Day0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.351578947368421	0.765932930705658	0.102080107662747	-0.534441679559434	-1.08079175716975	18	REACTOME	Day_Day7_Day0
REACTOME_ABC_TRANSPORTER_DISORDERS	0.503496503496504	0.813658224208683	0.0870515867946735	-0.401714990229565	-0.959656213771226	75	REACTOME	Day_Day7_Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.947712418300654	0.974418192766817	0.0520570030732099	-0.277445795744044	-0.56898799297934	20	REACTOME	Day_Day7_Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.285988483685221	0.74269174140008	0.109250039480711	0.610976567127042	1.20528879583749	17	REACTOME	Day_Day7_Day0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.529045643153527	0.82583340443826	0.0780892306943345	-0.433223648256682	-0.923565684616232	24	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.111538461538462	0.737818291811032	0.184706471207739	0.803811908947376	1.4503266830199	8	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	0.0475285171102662	0.737818291811032	0.287857117255149	0.916965121272143	1.51860935299503	5	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.0873983739837398	0.737818291811032	0.216542836735348	-0.746162167594536	-1.49300233647926	14	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.061049527354373	0.737818291811032	0.321775918075361	-0.819568078656409	-1.54858528496755	9	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.818352059925094	0.918882377631409	0.0518457624865066	0.339614176672083	0.709225507318328	30	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.723404255319149	0.88324277331015	0.0636424081651019	-0.457762684635206	-0.77998452874042	6	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.805220883534137	0.914651337909779	0.055826471778749	-0.369763838217259	-0.712467375854534	11	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.679405520169851	0.864748231291106	0.0665892104103933	-0.460012691451139	-0.810664196239348	7	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.768361581920904	0.902136859326991	0.0550211117163117	0.416781419742629	0.72817306921072	7	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.715151515151515	0.879450683069881	0.0617054053637522	-0.406826676689402	-0.768704664640284	9	REACTOME	Day_Day7_Day0
