ID	cosineSimilarity	zscore	accession	comparison	comparisonsText	Description	PMID	Species	Tissue	ExpType	Perturbation	Effect	Type	foldChangeOnly	platform
GSE29745_1	0.210636521014182	4.17742969891949	GSE29745	1	Gene expression of human amnion infected 5 genesvsGene expression of human fetal re-differentiation chondrocytes	Human amnion and chondrosarcoma	22833560	Human	Cartilage	Tissue	Amnion	chondrosarcoma	Microarray	TRUE	1C-Agilent
E-GEOD-54461_6	0.169895786517927	3.38706016486313	E-GEOD-54461	6	Day14vsDay2	Temporal gene expression across osteoblastogenesis	24945404	Mouse	Bone	Development	Osteoblast differentiation	NA	RNASeq	FALSE	RNASeq
E-GEOD-54461_7	0.164567917900257	3.28369960720681	E-GEOD-54461	7	Day16vsDay2	Temporal gene expression across osteoblastogenesis	24945404	Mouse	Bone	Development	Osteoblast differentiation	NA	RNASeq	FALSE	RNASeq
E-GEOD-54461_5	0.164148456952705	3.27556207218759	E-GEOD-54461	5	Day12vsDay2	Temporal gene expression across osteoblastogenesis	24945404	Mouse	Bone	Development	Osteoblast differentiation	NA	RNASeq	FALSE	RNASeq
E-GEOD-54461_8	0.159238815530579	3.18031511478318	E-GEOD-54461	8	Day18vsDay2	Temporal gene expression across osteoblastogenesis	24945404	Mouse	Bone	Development	Osteoblast differentiation	NA	RNASeq	FALSE	RNASeq
GSE10575_3	0.152121447181554	3.0422382937518	GSE10575	3	T/C-28 cells (fetal human sternal chondrocytes, immortalized, M.Goldring)vshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
E-GEOD-54461_4	0.142328326488027	2.85225192420777	E-GEOD-54461	4	Day10vsDay2	Temporal gene expression across osteoblastogenesis	24945404	Mouse	Bone	Development	Osteoblast differentiation	NA	RNASeq	FALSE	RNASeq
GSE100268_1	0.141397064600344	2.83418545993427	GSE100268	1	HPIP_KOvsControl	HPIP KO Cartilage	30659184	Human	Cartilage	Gene perturbation	HPIP	Knockout	RNASeq	TRUE	RNASeq
GSE17348_1	0.129317160392317	2.59983553035161	GSE17348	1	conditioned medium of MDA-PCa2b cellsvsconditioned medium of PC-3 cells	Effects of prostate cancer cells on osteoblasts	19796718	Mouse	Bone	Culture	Prostate cell media		Microarray	TRUE	Affy
GSE125167_6	0.125976656171636	2.53502980711026	GSE125167	6	PLZF_2_days_diffvsControl_2_days_dif	PLZF knockdown during osteogenic differentiation	30672466	Human	Bone				RNASeq	FALSE	RNASeq
