GENE	Control_Day7_1	Control_Day3_1	KD_Day3_1	Control_Day0_2	KD_Day0_2	KD_Day7_2	KD_Day3_2	Control_Day7_3	Control_Day0_3	KD_Day0_3	KD_Day3_3	KD_Day0_1	Control_Day0_1	KD_Day7_1	Control_Day3_2	Control_Day7_2	Control_Day3_3	KD_Day7_3
HGF	HGF	1.0512091	5.336855	2.6729053	20.071323	10.348013	0.419911	0.5401881	0	43.520085	22.859354	0.4944987	26.271040001921	77.876751	1.1156766	0.784042	0.311835	0.4543304	0.1534434
CYFIP2	CYFIP2	1.45723142897521	3.9521636	1.9359027170753	1.75278988667	0.6286117380565	0.81247840123984	0.5828397481	0.3966599518727	2.10703	0.8866506	0.8065529	3.37961795358281	12.7291613136496	1.01004680119036	1.64583500092906	0.636698	0.7398302919927	1.43109902061
CHI3L2	CHI3L2	305.10012	1043.57376	596.193383911215	7.44897	6.098316	65.4046030021318	129.47164	907.045004006951	16.025740147538	14.61315	4373.733285	7.74244600569379	14.8223933	118.32189	398.387038	205.28231	6816.91354933576	507.570794022283
SLC6A15	SLC6A15	1.59841622803296	8.2269725209403	6.90637459800983	8.70242989819	3.10464397	7.42777332505001	3.425124735417	10.707478344	16.9595120245943	8.85545237533901	6.37598944186	7.561846878443	14.1813450670939	1.18592519447135	2.67917029362662	6.364408083	10.65573154603	15.2658694884033
ZNF264	ZNF264	0.817738	0.60667	0.783228	0.529352	0.947292	1.350123	0.9140798	1.2127425	0.5654052	1.8422781	0.46435972	2.323363	0.620064	0.939396	1.168547	1.0216221	0.6521983	0.571323
OAS1	OAS1	1.95525514733276	2.9489209	2.1210956	7.224356	4.63050261	0.7955079	1.3637913	0.6470365	13.4653731433834	4.495478546	1.578193	3.33273132356	11.0442187	1.886357537566	1.6242193	1.0360623	1.499380841138	0.578463
PCBP4	PCBP4	15.10771589	25.83992479324	11.584057	56.6130742	23.388449272408	13.599629	18.11947253	16.95950308	51.72696126689	25.9125854007056	10.0932337035311	25.3059375978	51.156312	10.1110761	39.2781390165	16.9666842	17.7888603	12.461282
TGFB2	TGFB2	41.35341	17.32758	34.40224	7.562158	7.4514	50.16206	121.33797	12.058353	13.654799	13.131361	17.55623	43.07808	24.34106	47.6551	48.14816	64.05578	8.42303	26.12194
PROCR	PROCR	10.2398	37.63668	18.467941	38.49799	15.2032	17.764295	14.455761	34.867692	74.4053	41.69107	20.154798	45.50205	123.14097	9.655176	21.5819	17.020214	31.434969	32.139001
PORCN	PORCN	16.0169837014054	15.8505197284	15.953539	103.612515	47.829063	33.8382733473	22.964818	25.0031363	134.28878365921	69.709550805	15.733474396933	32.3943229597	74.45818	17.64280077	24.94858	32.4183190338864	15.841657	31.079469
BABAM1	BABAM1	76.631791	79.7953673	44.188923	117.809433	46.340816	94.267604	61.191487	89.872217	111.646563	54.100082	45.537248	62.61869	160.1208211	79.114644909	83.55373	84.389123	64.583882	81.936902
