GENE	Control_Day7_1	Control_Day3_1	KD_Day3_1	Control_Day0_2	KD_Day0_2	KD_Day7_2	KD_Day3_2	Control_Day7_3	Control_Day0_3	KD_Day0_3	KD_Day3_3	KD_Day0_1	Control_Day0_1	KD_Day7_1	Control_Day3_2	Control_Day7_2	Control_Day3_3	KD_Day7_3
SUSD2	SUSD2	13.5228	17.928151	13.4953174	2.48952	3.65201	0.0425772	1.21344	1.03293	10.0255877	6.50758	1.34697	0.291755	1.75124	3.1337381	4.11788	0.96689	3.05237	0.243868
NOP53	NOP53	10.4116967	11.8156573	6.801819	19.369476	35.399865	28.737469	24.831775	23.630943	7.6591694	45.8770746	17.1833687	10.55013	3.959811	5.047567	31.5114352	11.3819709	30.282062	10.858471
MGP	MGP	24.5891813	6.957713	5.246837	45.126182	29.58138	0.0436189	8.044107	0.274187	5.162654	3.044923	4.915605	4.097939	4.49791917	5.28958672	16.9040891	5.3252749	3.0898168	0
FBXO2	FBXO2	5.679761	19.172546	3.259742	2.590655	3.112053	0.174516	0.582502	1.306763	3.9499	4.678452	2.13089	3.345669	1.903616	6.37987	5.92632	1.366238	11.514855	0.4135101
CPXM2	CPXM2	35.66022	20.20785	6.848926	0	0	0.0516872	0	6.17374	2.197957	9.91671	3.421711	12.913993	8.2889757	10.4689998	0.0280047	0.0306915	7.73612	1.947572
SLC39A8	SLC39A8	270.50424	320.63998	108.6532444	7.120302	8.573305	33.267016	113.645388	104.82277	3.4420899	8.897756	269.167156	5.924182	2.021585	104.8439	239.04026	75.962012	514.28441	31.809386
GPM6A	GPM6A	8.54329	9.36579	16.3566	35.1811429	16.0495	136.127	21.4705	25.3674354	12.4417	11.5121	13.9921	13.6429	14.997	18.7179	19.4027	21.6768	12.5377	107.301
FBXO32	FBXO32	180.46547	361.33909	97.257506	13.79664	18.93325	68.2157	112.641527	148.87711	15.461347	75.994168	197.034586	51.33328	17.1848224205	33.90578	161.3209	104.502411	309.196336	49.188658
NEUROD2	NEUROD2	11.8652	11.6043417	16.2191	43.2866	14.1679	65.0792	20.2884	11.8644	16.8875	17.3153	7.29202	9.37637	22.0503	18.1885574	26.7882	23.895	6.84201	39.9434
PDCD6-AHRR	PDCD6-AHRR	1.04791e-06	2.71519e-07	0.2938447662	0.891456	4.41426	0.15661453	0.456814	0.3185198699	0.304353526809	1.1720418	1.163541	7.12859	1.98601	0.7628275630823	1.03434e-07	0.19021659885	1.05411	9.45879e-07
