pathway	pval	padj	log2err	ES	NES	size	Ontology_Source	GROUP
REACTOME_2_LTR_CIRCLE_FORMATION	0.274809160305344	0.638246268656716	0.11146266692298	-0.711459142006858	-1.22026275171264	7	REACTOME	Day0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	0.0593049107246985	0.445233089958332	0.321775918075361	0.90899980248122	1.43464306348836	5	REACTOME	Day0
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.0816326530612245	0.452151039342178	0.224966093540314	0.805122133772095	1.42804393026764	9	REACTOME	Day0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.371769383697813	0.695608769823719	0.0952879846194844	-0.396734151802239	-1.04387157693156	102	REACTOME	Day0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.193347193347193	0.583555828326382	0.142901149386948	-0.648300932736231	-1.26600361361476	18	REACTOME	Day0
REACTOME_ABC_TRANSPORTER_DISORDERS	0.880626223091976	0.917196099737457	0.0504983044100709	-0.307575690366307	-0.771348754632965	77	REACTOME	Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.810309278350515	0.879295832404083	0.0567672387487446	-0.376690870625798	-0.75471523722619	20	REACTOME	Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.288973384030418	0.650892788297368	0.107972360317345	0.614060220529384	1.19410198565524	17	REACTOME	Day0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.856287425149701	0.904510980676647	0.0526973085708419	0.344662372531521	0.715906586658825	24	REACTOME	Day0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.7734375	0.862759933053626	0.0564118388217596	-0.42431715300369	-0.746195362483333	9	REACTOME	Day0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	0.0575692963752665	0.445233089958332	0.276500599254472	0.904784586553517	1.42799033344895	5	REACTOME	Day0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.0726141078838174	0.447231968971099	0.241339976815091	-0.756022391157898	-1.4390110560421	15	REACTOME	Day0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.848484848484849	0.903401062021152	0.0536769600638126	0.381125672164628	0.676397296201503	10	REACTOME	Day0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.0998043052837573	0.474085365853659	0.197822021315103	-0.613901617434856	-1.35714532458171	32	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.221030042918455	0.595670219650255	0.135002033828631	0.782445009388431	1.27692726529382	6	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.60515873015873	0.807744056134614	0.0689567351672811	0.503808877272503	0.911557254037166	11	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.289699570815451	0.650892788297368	0.115734447701689	0.746598371861461	1.21842660610619	6	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.0380585355594901	0.400809091221073	0.321775918075361	0.874591302619188	1.46903359430361	7	REACTOME	Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.614285714285714	0.814130404227807	0.0696133438850965	0.503799622886019	0.893588641219941	9	REACTOME	Day0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.195278969957082	0.583555828326382	0.144630528034484	0.793228045238741	1.29452486297121	6	REACTOME	Day0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	0.168932038834951	0.566599190283401	0.148261500475107	-0.760882988289151	-1.32625874998334	8	REACTOME	Day0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.662626262626263	0.832297123088722	0.0653834195468773	0.370120310822166	0.877944617279666	50	REACTOME	Day0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.0585858585858586	0.445233089958332	0.266350657088526	-0.706265945949365	-1.46378593658562	23	REACTOME	Day0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.357285429141717	0.689303774584825	0.0978773277424561	-0.510638079870233	-1.07316366663731	24	REACTOME	Day0
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.0944558521560575	0.461452277131783	0.208955027549354	0.472157278255722	1.25615564038373	106	REACTOME	Day0
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.795546558704453	0.873385764901891	0.0567672387487446	0.346230940833734	0.774741952660736	36	REACTOME	Day0
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.765560165975104	0.862759933053626	0.0597317976364411	-0.407646209726071	-0.775912736990563	15	REACTOME	Day0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.746987951807229	0.860857699805068	0.0593487680335629	0.381386699983375	0.816871223490919	30	REACTOME	Day0
