pathway	pval	padj	log2err	ES	NES	size	Ontology_Source	GROUP
REACTOME_2_LTR_CIRCLE_FORMATION	0.437768240343348	0.836728037219674	0.0902635484340068	-0.598982231711737	-1.06392700654335	7	REACTOME	Day_Day7_Day0
REACTOME_ABACAVIR_METABOLISM	0.233082706766917	0.745903880328861	0.121543282035469	0.777401220620085	1.27632615754975	5	REACTOME	Day_Day7_Day0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	0.422932330827068	0.832168255973595	0.0847985102819124	0.674463773707006	1.10732493578455	5	REACTOME	Day_Day7_Day0
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.285185185185185	0.784876639976847	0.107140237276725	0.6950348115575	1.23248763877496	10	REACTOME	Day_Day7_Day0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.808564231738035	0.926317257912848	0.066436413766281	-0.310273518296367	-0.795220593783617	101	REACTOME	Day_Day7_Day0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.492170022371365	0.846901837612536	0.0860347242455604	-0.486015602822368	-0.991134330208841	18	REACTOME	Day_Day7_Day0
REACTOME_ABC_TRANSPORTER_DISORDERS	0.579710144927536	0.865903709025117	0.0813027345384498	-0.358512143942685	-0.885699329657762	76	REACTOME	Day_Day7_Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.925	0.970891368892789	0.0440640346597561	0.294503613081725	0.566951279536275	20	REACTOME	Day_Day7_Day0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.235087719298246	0.745903880328861	0.116234148779716	0.662771197538279	1.24932715304968	17	REACTOME	Day_Day7_Day0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.678899082568807	0.892384356113436	0.0704500850658419	-0.384342223070974	-0.827870404616717	24	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.44177449168207	0.836728037219674	0.0815265143256594	0.591547144009366	1.05237293742267	9	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	0.0534208586696683	0.566551827659952	0.321775918075361	-0.894556675749854	-1.51267202453803	5	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.247191011235955	0.75415026715627	0.130105630751129	-0.623941871716205	-1.20907188180244	15	REACTOME	Day_Day7_Day0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.0735930735930736	0.570889522202232	0.245041785430996	-0.803459655179776	-1.47187468658817	10	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.415789473684211	0.826441899915182	0.0819778796501272	0.506373364821937	1.04108029762722	32	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	0.0822510822510823	0.590919065573444	0.231126709673834	-0.848794807154478	-1.44795882861803	6	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.303418803418803	0.799037017787018	0.112378519110475	-0.638051224503242	-1.19895862243335	11	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.165236051502146	0.68511437311661	0.158514105424824	-0.764136726661209	-1.35727849198997	7	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.156652360515021	0.676512548595342	0.163180127180689	-0.767044049228174	-1.36244255000699	7	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.136659436008677	0.657985023825732	0.176694268938498	-0.767213176490607	-1.39614896617263	9	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.645021645021645	0.889901543883845	0.070113215764256	-0.504385580385653	-0.86043122317797	6	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	0.457805907172996	0.839375448671931	0.086794975677172	-0.559662633368382	-1.01650310980016	8	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.762478485370052	0.914414752929489	0.051218434854034	0.351191914573608	0.787005974886743	51	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.476274165202109	0.843179192172481	0.0749278818393739	0.508142151257319	1.00340576354455	23	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.497706422018349	0.849575744276205	0.086794975677172	-0.452883774292505	-0.975508416619233	24	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.487309644670051	0.845067559555739	0.0937465422491719	-0.376303503701472	-0.969228329689988	107	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.0300280737276975	0.421745648121445	0.352487857583619	-0.753187050006953	-1.69025387720607	36	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.669658886894075	0.891726962059443	0.059221919380382	0.453651214166414	0.839523756195184	15	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.895652173913044	0.957696666070257	0.0443293451680314	0.311531432066538	0.639184860984299	30	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_C3_AND_C5	0.00336114064436811	0.171917509237977	0.431707695803346	0.950007569853947	1.62534975942083	6	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.1	0.62649399808146	0.191892240384838	0.85449755017451	1.46194349568746	6	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.00350164755376154	0.171917509237977	0.431707695803346	0.779793636839802	1.69782331699689	43	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.110526315789474	0.62649399808146	0.176694268938498	0.758003405999183	1.42884036110249	17	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.482758620689655	0.843179192172481	0.0886261133285098	-0.451837581646927	-0.983540914284576	27	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.0804195804195804	0.583135469181981	0.208955027549354	0.718930609011126	1.4583403145702	28	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	0.124463519313305	0.646795422031474	0.184706471207739	-0.789280068563633	-1.40193871573032	7	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.0181390722771557	0.360331101709928	0.352487857583619	-0.641889594660904	-1.60988680648047	88	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.617021276595745	0.87528313941107	0.0714786287425507	-0.525602021053346	-0.888779319232725	5	REACTOME	Day_Day7_Day0
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	0.659889094269871	0.891726962059443	0.0613026075396207	0.470459933406195	0.836956626487423	9	REACTOME	Day_Day7_Day0
