ENSG	ENTREZID	GENETYPE	SYMBOL	GENENAME	log2FoldChange	V	classification	specific.factor
1	ENSG00000000003	7105	protein-coding	TSPAN6	tetraspanin 6	-0.00749824846763331	0.0389318669065425	basal	NA
2	ENSG00000000419	8813	protein-coding	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	-0.0937663683461387	0.0366620509929232	basal	NA
3	ENSG00000000457	57147	protein-coding	SCYL3	SCY1 like pseudokinase 3	0.0621790413742858	0.0174381558807835	basal	NA
4	ENSG00000000460	55732	protein-coding	FIRRM	FIGNL1 interacting regulator of recombination and mitosis	-0.0212926586545936	0.00546244340774268	basal	NA
5	ENSG00000000971	3075	protein-coding	CFH	complement factor H	0.0827018375677032	0.0797654439817945	basal	NA
6	ENSG00000001036	2519	protein-coding	FUCA2	alpha-L-fucosidase 2	-0.0241912157730967	0.00967047255149701	basal	NA
7	ENSG00000001084	2729	protein-coding	GCLC	glutamate-cysteine ligase catalytic subunit	-0.094045762767055	0.00878534791880595	basal	NA
8	ENSG00000001167	4800	protein-coding	NFYA	nuclear transcription factor Y subunit alpha	0.0198143988543728	0.00530871513729519	basal	NA
9	ENSG00000001460	90529	protein-coding	STPG1	sperm tail PG-rich repeat containing 1	-0.0448502971347118	0.0109370434158656	basal	NA
10	ENSG00000001461	57185	protein-coding	NIPAL3	NIPA like domain containing 3	-0.520669068882109	0.360816460849456	basal	NA
11	ENSG00000001497	81887	protein-coding	LAS1L	LAS1 like ribosome biogenesis factor	0.0144021382748348	0.00293783807562144	basal	NA
12	ENSG00000001561	22875	protein-coding	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	-0.0217776809480721	0.00635604373921839	basal	NA
13	ENSG00000001629	54467	protein-coding	ANKIB1	ankyrin repeat and IBR domain containing 1	0.159862199771538	0.0633787389222004	basal	NA
14	ENSG00000001630	1595	protein-coding	CYP51A1	cytochrome P450 family 51 subfamily A member 1	0.0498861333383155	0.00632784227219183	basal	NA
15	ENSG00000001631	889	protein-coding	KRIT1	KRIT1 ankyrin repeat containing	-0.0147920947956627	0.00415958707041995	basal	NA
16	ENSG00000002016	5893	protein-coding	RAD52	RAD52 homolog, DNA repair protein	-0.0803902852174883	0.0190398289482768	basal	NA
17	ENSG00000002330	572	protein-coding	BAD	BCL2 associated agonist of cell death	-0.0690609047172327	0.0146831224146875	basal	NA
18	ENSG00000002549	51056	protein-coding	LAP3	leucine aminopeptidase 3	-0.055745093172181	0.0114997679784304	basal	NA
19	ENSG00000002586	4267	protein-coding	CD99	CD99 molecule (Xg blood group)	-0.095100837180999	0.013335390572721	basal	NA
20	ENSG00000002745	51384	protein-coding	WNT16	Wnt family member 16	-0.48149348320366	0.222048454792693	basal	NA
21	ENSG00000002746	23072	protein-coding	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	-0.138778198771448	0.0517079667057171	basal	NA
22	ENSG00000002822	8379	protein-coding	MAD1L1	mitotic arrest deficient 1 like 1	-0.147028520046715	0.0477318670730482	basal	NA
23	ENSG00000002834	3927	protein-coding	LASP1	LIM and SH3 protein 1	0.0305475507903052	0.0114435412412072	basal	NA
